strain,id,race,flavors,effects,0
Blackberry Lime Haze,296,sativa,"['Berry', 'Lime', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']}",
Blackberry Pie,297,hybrid,"['Sweet', 'Blueberry', 'Berry']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative'], 'negative': [], 'medical': ['Pain', 'Cramps', 'Nausea', 'Inflammation']}",
Blackberry Rhino,298,indica,"['Berry', 'Sweet', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Creative'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']}",
Blackberry Trainwreck,299,hybrid,"['Berry', 'Sweet', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']}",
Blackberry x Blueberry,300,indica,"['Berry', 'Blueberry', 'Skunk']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': [], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']}",
Blackwater,301,indica,"['Earthy', 'Grape', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']}",
Blaze,302,sativa,"['Blueberry', 'Berry', 'Sweet']","{'positive': ['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Inflammation']}",
Blissful Wizard,303,hybrid,"['Sweet', 'Vanilla', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Talkative'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']}",
Blob OG,304,hybrid,"['Pine', 'Citrus', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Creative'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']}",
Blockhead,305,hybrid,"['Lime', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']}",
Bloo's Kloos,306,indica,"['Earthy', 'Flowery', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused'], 'negative': [], 'medical': ['Pain', 'Stress', 'Cramps', 'Eye Pressure', 'Inflammation']}",
Bloodhound,307,hybrid,"['Earthy', 'Chestnut', 'Sage']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Talkative', 'Focused'], 'negative': ['Dry Eyes'], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']}",
Blowfish,308,hybrid,"['Pine', 'Earthy', 'Sage']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache', 'Muscle Spasms']}","Bianca is a three-way indica-dominant hybrid that brings classic genetics and flavors together. This strain was created by blending a White Widow and Afghan cross with the Empress phenotype White Queen. It grows squat and sturdy plants that produce healthy yields with the proper amount of TLC. Known for its pungent hashy aroma and equal measures of euphoria and sedation, Bianca calms the consumer while enhancing mood, making it good medicine for patients seeking to curb anxiety, body aches, and nausea. "
Blucifer,309,sativa,"['Blueberry', 'Berry', 'Minty']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused'], 'negative': ['Dry Eyes'], 'medical': ['Depression', 'Pain', 'Lack of Appetite', 'Nausea', 'Headaches']}","Biddy Early is a 50/50 hybrid strain bred by Magus Genetics through crossing Early Skunk with Warlock. Drawing a connection between the War on Drugs and the era of witch hunts, its breeders named this strain after a 19th century healer accused of witchcraft. This hybrid healer works its medicinal sorcery by delievering a balanced, dreamy experience that envelopes both mind and body with unencumbered relief. With a sweet aroma similar to that of candy, Biddy Early offers satisfying yields of crystal-coated buds meant for harvest in the great outdoors."
Blue Afghani,310,indica,"['Blueberry', 'Woody', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Lack of Appetite', 'Nausea', 'Fatigue', 'Headaches']}","Big Band was created to stabilize the delicious flavor of Bubble Gum with a strong, heavy yielding plant. Chronic, this strain’s second parent, grows massive colas with generous resin production and hybridized sativa effects, making it a natural compliment to Bubble Gum’s indica-dominant qualities. Big Band’s effects are joyful and loud, exhibiting deeply relaxing effects  with an assortment of juicy berries of the palate. "
Blue Alien,311,indica,"['Blueberry', 'Earthy', 'Pine']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Sleepy'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Fatigue', 'Inflammation']}","Big Bang sprang into existence when Green House Seeds combined Skunk, Northern Lights, and El Niño into one indica that packs the power of the cosmos. Sweet apple with accents of rose and violet bring a rich aromatic experience to this 80% indica, whose sedating effects run most popularly with patients treating pain and sleeplessness. Relief expands and spreads throughout the body, calming stress both physical and mental. Big Bang bursts into flowering, finishing in 8 to 9 weeks indoors or around the end of September in outdoor grows."
Blue Bastard,312,indica,"['Berry', 'Pine']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']}","Developed in the USA before being brought to the Netherlands in the 1980s to survive the War on Drugs, Big Bud is a legend among growers for its high yields in the garden. Preserved to this day by Dutch breeder Sensi Seeds, this indica produces massive buds with very few leaves, unmatched by any other cannabis variety. With an earthy and spicy aroma, Big Bud delivers deeply relaxing full-body effects true to its indica lineage."
Blue Bayou,313,sativa,['Sweet'],"{'positive': ['Hungry', 'Happy', 'Creative', 'Uplifted', 'Giggly'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Nausea', 'Headache']}","Cheese (also called UK Cheese or Exodus Cheese) is a famous clone-only strain that originated in England around 1989, reportedly from a pack of Sensi Seeds’ Skunk #1. An extremely potent and high-yielding plant with a pungent cheese-like odor, it was passed around the underground to various growers and breeders over the years until it became one of the most popular and ubiquitous strains in the UK. Sometime around 2004, the breeder known as “Big Buddha” took this clone and crossed it with a carefully selected Afghani indica to create a seed version of Cheese. Big Buddha Cheese won the High Times 2006 Cannabis Cup in the indica category and went on to become probably the most popular and widely available Cheese hybrid produced in seed form. It is known for its sweet, tropical fruit meets skunky-cheese smell and large yields of high potency flowers.  "
Blue Blood,314,indica,"['Blueberry', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Sleepy'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']}",Big Holy Nina from Colorado Seed Inc. is a sativa-dominant cross of S.A.G.E. and Nina Limone (Super Lemon Haze x Rebel God Smoke). This stout sativa blend is infused with energy and will ignite your appetite and brighten your mind. 
Blue Boy,315,hybrid,"['Earthy', 'Sweet', 'Pungent']","{'positive': ['Happy', 'Creative', 'Talkative', 'Uplifted', 'Giggly'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']}","Big Kush by Dinafem Seeds is a love letter to growers and Kush connoisseurs alike. By combining the generous genetics of Big Skunk with the ever-popular OG Kush, Dinafem has fashioned a strain that exhibits the balanced and flavorful attributes of OG Kush with the fuel-tinged lemon aroma and yield of their Big Bud/Skunk cross. This autoflowering strain finishes in 8 weeks and requires little manicuring due to the conservative number of fan leaves.   "
Blue Buddha,316,indica,"['Blueberry', 'Citrus', 'Pungent']","{'positive': ['Relaxed', 'Happy', 'Creative'], 'negative': ['Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Lack of Appetite', 'Headaches', 'Seizures']}","Big Mac by Federation Seeds is an indica-dominant strain with unique sativa fan leaves and an accelerated grow cycle. This generous cut of Mikado and BC Big Bud develops quickly indoors, growing upwards of six feet tall over its speedy seven week maturation. The large plant produces a healthy yield of fruity mid-sized buds that reek of berry and citrus peel. Big Mac’s effects elevate the mind and relax the body, offering a creative bent to a satisfying sedation. Enjoy Big Mac to stimulate the mind and the appetite while infusing the limbs with a relaxing weighted warmth.   "
Blue Champagne,317,hybrid,"['Earthy', 'Sweet', 'Pine']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Cramps', 'Lack of Appetite']}","Big Skunk Korean is supposedly a mix of Big Bud, Skunk #1, and Korean genetics originating in the western U.S., possibly Oregon, though it is unclear when it was created and by whom. It was used by SOMA in many of his breeding projects and is listed as a parent strain for Somativa, Kahuna, Lavender and Somango, among others."
Blue Cheese,318,indica,"['Blue Cheese', 'Cheese', 'Blueberry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']}",Big Sky OG from Elemental Seeds is an indica strain that competed in the .
Blue Cinex,319,hybrid,"['Blueberry', 'Earthy']","{'positive': ['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']}","Big Smooth by Exotic Genetix is a flavorful cross of OG Blueberry and Cookies and Cream. This indica-leaning hybrid offers a delicious terpene profile that smells sweet and doughy, like blueberry pancakes. Big Smooth grows bushy, medium-tall plants and has a flowering time of 55-66 days. Enjoy Big Smooth for its delicious flavor and euphoric, middleweight sedation. This strain is a seasoned fit for improving moods and tempering minor aches and pains.      "
Blue Cookies,320,hybrid,"['Blueberry', 'Berry', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Big Sur Holy Bud is a sativa bred by Bodhi Seeds. This plant has an indica structure, with purple/pink hued buds that offer a blueberry, menthol aroma and effects true to its sativa heritage. This strain can be grown indoors and outdoors."
Blue Crack,321,hybrid,"['Berry', 'Sweet', 'Blueberry']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Talkative', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Big White is an indica-dominant hybrid that combines The White with Big Bud genetics. Bred by La Plata Labs, this strain began as an F1 hybrid created by Eclectic Genetics. La Plata Labs then refined and stabilized the genetics through generations of breeding and phenotype selection. This strain is known to produce large yields of sweet, sugary buds that express themselves in a variety of colors and carry a unique maple syrup flavor."
Blue Diamond,322,indica,"['Sweet', 'Earthy', 'Flowery']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Eye Pressure']}",Big Wreck is the ndica-dominant cross of Big Bud and Trainwreck. This chunky combination offers functional relaxation with an uplifted mental buzz that some might describe as creative. This strain becomes very sedative with continuous use and may also stimulate your appetite. 
Blue Diesel,323,hybrid,"['Blueberry', 'Diesel', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Inflammation']}","A sativa-dominant hybrid rarely found nowadays, Biker Le’Blanc is a dense and resinous strain that combines Raskal’s The White with Hell’s Angel OG (Biker Kush cut). Leading with a skunky, earthy aroma typical of OG varieties, Biker Le’Blanc offers heavily relaxing effects that weigh the body down without causing too much cloudiness in the head. Its THC content is known to stretch to 23%, so proceed with caution if you’re sensitive to cannabis’ psychoactive effects."
Blue Dot,324,sativa,"['Earthy', 'Pungent', 'Berry']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']}","Bio-Diesel is an exceptional cannabis hybrid as evidenced by the 1st place title it earned at 2009’s 2nd Annual Colorado Medical Marijuana Harvest Cup. This four-way cross between Sour Diesel, Sensi Star, Original Diesel, and NYC Diesel excels at delivering both intense and balanced effects: an acute, speedy sativa onset gravitates into numbing relaxation. The hybrid effects make this strain a reliable choice for mental and physical relief alike, so it’s no surprise that Bio-Diesel is cherished by cannabis connoisseurs."
Blue Dragon,325,hybrid,"['Blueberry', 'Berry', 'Diesel']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']}","Bio-Jesus is an indica-dominant hybrid renowned for its numbing potency and exceptional pain relief application. The strain springs from affluent genetics: its appearance resembles the favorite Ohio-bred indica Gumbo, and its aroma is similar to the Colorado Medical Marijuana Harvest Cup award-winning Bio-Diesel. Thanks to this parentage, Bio-Jesus provides intense body effects and a cerebral haze that promotes nighttime use."
Blue Dream,326,hybrid,"['Blueberry', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Biochem is the sedating cross of Chemdawg 4 and Sensi Star. This indica-dominant strain offers patients a weighted relaxation with a gentle headiness that infuses the body with a soft and soothing haze. Enjoy Biochem in the evening, as its effects naturally sedate. The aroma and taste are rich with notes of fuel, citrus, and herbaceous greenery, while the appearance is bright green with a peppering of purple entangled in orange pistils."
Blue Dynamite,327,indica,"['Earthy', 'Sweet', 'Blueberry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Birds Eye is a variety of Jack Herer grown by Canadian LP Tweed, Inc. Its flavors mirror the invigorating mix of sweet citrus and spicy pine that many associate with Jack Herer. Birds Eye produces potent yet balanced effects that ease stress and body pains while allowing consumers to maintain focus and activity. "
Blue Frost,328,hybrid,"['Sweet', 'Cheese', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Uplifted'], 'negative': ['Dry Mouth', 'Paranoid'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']}","Birthday Cake Kush, also known as Wedding Cake or just Birthday Cake, is an indica-dominant hybrid with strong body effects and sweet cake-like flavor. As decadent as its Girl Scout Cookies and Cherry Pie parent strains, Birthday Cake Kush buds bloom with a crystalline icing of THC-rich resin. Like any dessert, Birthday Cake Kush is the perfect way to end your day, with deeply relaxing effects that soothe the body without sedating the mind. This indica is preferred by patients treating pain, anxiety, appetite loss, inflammation, and headaches."
Blue Galaxy,329,hybrid,"['Sweet', 'Berry', 'Blueberry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Headaches']}","Black ’84, also known as UW Black ’84, is one of a few elusive strains that managed to escape from the medical cannabis garden at the University of Washington in the early and mid-1980s. Believed to descend from Afghani genetics, Black ‘84’s unknown indica lineage expresses itself as a stout, dark, and bushy plant. The aroma is a complex mix of sweet tropical flavors that blend with a smooth nutty finish. Its powerful, relaxing effects on the body make Black ’84 a great nighttime strain when combatting anxiety, pain, and insomnia."
Blue God,330,indica,"['Blueberry', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']}","Black Afghan is a complex indica-dominant strain with euphoric and relaxing effects. The flowers develop as jade, pine tree-shaped colas with dark green, nearly black sugar leaves. Black Afghan’s terpene profile is an aromatic mixture of pepper, earth, and sage smothered in dark berries, alluding to the strain’s cerebral and physical effects. This strain’s heady, uplifted buzz and relaxing, munchie-inducing body effects make it perfect for a lazy afternoon."
Blue Goo,331,hybrid,"['Berry', 'Pine', 'Flowery']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']}","Black Betty is a long-lasting sativa-dominant hybrid that stems from East Coast Sour Diesel and AK-47 genetics. With a rich but subtle aroma, Black Betty launches you into soaring euphoria that may be considered too lofty for the novice consumer. Though certainly good for a lazy day, Black Betty is known to induce a forgetfulness so fierce that concentration and productivity can seem impossible for some. As a way of enhancing Black Betty’s flavor, others have bred in Cherry AK-47 for its sweet cherry flavor profile. Black Betty offers growers notable yields following her 64-day flowering cycle, with dense buds that are easy to manicure."
Blue Hash,332,hybrid,"['Blueberry', 'Sweet', 'Earthy']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Tingly', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']}","Black Bubba is an indica-dominant cross of Bubba Kush and Black Russian. The resulting buds carry a sweet aroma with subtle fruit notes that produce earthy flavors of hash and pine. The relaxing indica effects calm body pains, stimulate the appetite, and are known to sedate the body into a state of couchlock."
Blue Hawaiian,333,hybrid,"['Sweet', 'Blueberry', 'Tropical']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Nausea', 'Headache', 'Fatigue', 'Headaches']}","Thought to have originated in Southern Oregon from an unknown breeder, Black Cherry Cheesecake is an indica-dominant hybrid that supposedly crosses Black Cherry Soda, Super Silver Haze, and Cheese. These large, pink-tinged purple flowers smell like cherries and sugar, and possess a flavor that is aptly described by the name. Black Cherry Cheesecake leaves users relatively clear-headed while providing strong, sedating body sensations that can make motivation difficult. "
Blue Haze,334,hybrid,"['Blueberry', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Headaches', 'Inflammation']}","Black Cherry OG is an indica strain bred by Grand Daddy Purple that combines Ken’s OG with an unknown Granddaddy Purple hybrid. Dense buds take on an intense purple hue at the end of Black Cherry OG’s maturation and develop a sweet aroma like fruity tea. Relaxing full-body effects take over, ridding you of pain and insomnia while lifting the mood."
